Sno,SensorId,Temperature,PH,EC,Mortality,DateTime
499,220,23.44,7.72,2.2,1,2022-04-25T01:39:40.3170000
500,220,23.44,8.16,1.43,1,2022-04-25T01:54:40.3170000
501,220,23.44,7.89,1.72,1,2022-04-25T02:09:40.2970000
502,220,23.44,8.19,1.6,1,2022-04-25T02:24:40.2970000
503,220,23.44,8.22,1.52,1,2022-04-25T02:39:40.3870000
504,220,23.44,7.72,2.17,1,2022-04-25T02:54:40.3330000
505,220,23.44,8.16,1.49,1,2022-04-25T03:09:40.4300000
506,220,23.44,8.13,1.52,0,2022-04-25T03:24:40.3770000
507,220,23.44,7.72,2.17,0,2022-04-25T03:39:40.3400000
508,220,23.44,8.16,1.49,0,2022-04-25T03:54:40.3270000
509,220,23.44,7.89,1.75,0,2022-04-25T04:09:40.3630000
510,220,23.44,7.97,1.87,0,2022-04-25T04:24:40.3970000
511,220,23.44,8.13,1.57,0,2022-04-25T04:39:40.5400000
512,220,23.44,7.69,2.14,0,2022-04-25T04:54:40.3600000
513,220,23.44,8.16,1.49,0,2022-04-25T05:09:40.4100000
514,220,23.44,7.97,1.69,0,2022-04-25T05:24:40.3630000
515,220,23.44,8.19,1.54,0,2022-04-25T05:39:40.8770000
516,220,23.44,8.16,1.52,0,2022-04-25T05:54:40.4000000
517,220,23.44,7.72,2.17,0,2022-04-25T06:09:40.5200000
518,220,23.44,8.13,1.52,0,2022-04-25T06:24:40.7570000
519,220,23.44,7.72,2.11,0,2022-04-25T06:39:40.3700000
520,220,23.44,8.16,1.46,0,2022-04-25T06:54:40.5300000
521,220,23.44,7.89,1.81,0,2022-04-25T07:09:40.5170000
522,220,23.44,8.11,1.69,0,2022-04-25T07:24:40.5600000
523,220,23.44,8.11,1.52,0,2022-04-25T07:39:40.5200000
524,220,23.44,7.91,1.96,0,2022-04-25T07:54:40.4830000
525,220,23.44,8.13,1.52,0,2022-04-25T08:09:40.5170000
526,220,23.44,7.72,2.05,0,2022-04-25T08:24:40.4000000
527,220,23.44,8.16,1.43,0,2022-04-25T08:39:40.3870000
528,220,23.44,8.13,1.54,0,2022-04-25T08:54:40.5230000
529,220,23.44,7.75,2.14,0,2022-04-25T09:09:40.4570000
530,220,23.44,8.16,1.49,1,2022-04-25T09:24:40.5870000
531,220,23.44,8.08,1.57,1,2022-04-25T09:39:40.5130000
532,220,23.44,8.05,1.75,1,2022-04-25T09:54:40.4830000
533,220,23.44,8.13,1.52,1,2022-04-25T10:09:40.4200000
534,220,23.44,7.72,2.14,1,2022-04-25T10:24:40.5330000
535,220,23.44,8.16,1.49,1,2022-04-25T10:39:40.5500000
536,220,23.44,8,1.6,1,2022-04-25T10:54:40.4430000
537,220,23.44,8.11,1.72,1,2022-04-25T11:09:40.4600000
538,220,23.44,8.11,1.54,1,2022-04-25T11:24:40.5100000
539,220,23.44,7.83,2.05,1,2022-04-25T11:39:40.4600000
540,220,23.44,8.13,1.52,1,2022-04-25T11:54:40.4570000
541,220,23.44,7.97,1.87,1,2022-04-25T12:09:40.5070000
542,220,23.44,8.13,1.52,1,2022-04-25T12:24:40.5200000
543,220,23.44,7.89,2.05,1,2022-04-25T12:39:40.6130000
544,220,23.44,8.11,1.52,1,2022-04-25T12:54:40.5570000
545,220,23.44,7.83,2.08,1,2022-04-25T13:09:40.5000000
546,220,23.44,8.13,1.52,1,2022-04-25T13:24:40.6530000
547,220,23.44,8.16,1.49,1,2022-04-25T13:39:40.5570000
548,220,23.44,7.8,1.96,0,2022-04-25T13:54:40.5530000
549,220,23.44,8.13,1.49,0,2022-04-25T14:09:40.4530000
550,220,23.44,7.97,1.87,0,2022-04-25T14:24:40.4500000
551,220,23.44,7.67,2.17,0,2022-04-25T14:39:40.4630000
552,220,23.44,8.13,1.52,0,2022-04-25T14:54:40.4470000
553,220,23.44,8.19,1.49,0,2022-04-25T15:09:40.5100000
554,220,23.44,8,1.84,0,2022-04-25T15:24:40.4700000
555,220,23.44,7.78,2.05,0,2022-04-25T15:39:40.4530000
556,220,23.44,8.16,1.52,0,2022-04-25T15:54:40.5900000
557,220,23.44,8.13,1.66,0,2022-04-25T16:09:40.4700000
558,220,23.44,7.91,1.72,0,2022-04-25T16:24:40.6470000
559,220,23.44,8.16,1.46,0,2022-04-25T16:39:40.5100000
560,220,23.44,7.8,1.9,0,2022-04-25T16:54:40.7670000
561,220,23.44,8.16,1.49,0,2022-04-25T17:09:40.5070000
562,220,23.44,7.72,2.11,0,2022-04-25T17:24:40.6370000
563,220,23.44,8.16,1.52,0,2022-04-25T17:39:40.5330000
564,220,23.44,7.75,2.02,0,2022-04-25T17:54:40.4800000
565,220,23.44,8.13,1.46,0,2022-04-25T18:09:40.6830000
566,220,23.44,7.75,2.05,0,2022-04-25T18:24:40.6370000
567,220,23.44,8.16,1.49,0,2022-04-25T18:39:40.5200000
568,220,23.44,8.08,1.54,0,2022-04-25T18:54:40.5430000
569,220,23.44,8.11,1.75,0,2022-04-25T19:09:40.5530000
570,220,23.44,8.11,1.54,0,2022-04-25T19:24:40.5330000
571,220,23.44,8.19,1.54,0,2022-04-25T19:39:40.6670000
572,220,23.44,8.08,1.57,0,2022-04-25T19:54:40.9630000
573,220,23.44,7.89,1.99,0,2022-04-25T20:09:43.2300000
574,220,23.44,8.16,1.52,0,2022-04-25T20:24:40.6070000
575,220,23.44,7.72,2.14,0,2022-04-25T20:39:40.5530000
576,220,23.44,8.16,1.52,0,2022-04-25T20:54:40.6070000
577,220,23.44,7.72,2.17,0,2022-04-25T21:09:40.5830000
578,220,23.44,8.16,1.49,0,2022-04-25T21:24:40.6200000
579,220,23.44,7.94,1.72,0,2022-04-25T21:39:40.6030000
580,220,23.44,8.19,1.54,0,2022-04-25T21:54:40.9530000
581,220,23.44,8.11,1.54,0,2022-04-25T22:09:40.6830000
582,220,23.44,7.83,2.08,0,2022-04-25T22:24:40.5800000
583,220,23.44,8.13,1.43,0,2022-04-25T22:39:40.6970000
584,220,23.44,7.94,1.69,0,2022-04-25T22:54:40.5970000
585,220,23.44,7.91,2.02,0,2022-04-25T23:09:40.6070000
586,220,23.44,8.13,1.52,0,2022-04-25T23:24:40.5670000
587,220,23.44,7.72,2.17,0,2022-04-25T23:39:40.6270000
588,220,23.44,8.19,1.46,0,2022-04-25T23:54:40.8000000
589,220,23.44,7.89,1.78,0,2022-04-26T00:09:40.6000000
590,220,23.44,8.16,1.57,1,2022-04-26T00:24:40.7470000
591,220,23.44,8.13,1.52,1,2022-04-26T00:39:40.6030000
592,220,23.44,7.78,2.05,1,2022-04-26T00:54:40.7330000
593,220,23.44,8.11,1.63,1,2022-04-26T01:09:40.7030000
594,220,23.44,8.13,1.52,1,2022-04-26T01:24:40.7200000
595,220,23.44,7.86,1.87,1,2022-04-26T01:39:40.6700000
596,220,23.44,7.97,1.9,1,2022-04-26T01:54:40.7900000
597,220,23.44,8.19,1.49,1,2022-04-26T02:09:40.7370000
598,220,23.44,7.91,1.72,1,2022-04-26T02:24:40.7100000
599,220,23.44,7.97,1.9,1,2022-04-26T02:39:40.6630000
600,220,23.44,8.13,1.52,1,2022-04-26T02:54:40.6770000
601,220,23.44,7.8,1.9,1,2022-04-26T03:09:40.7670000
602,220,23.44,8.16,1.6,1,2022-04-26T03:24:40.8370000
603,220,23.44,8.13,1.54,1,2022-04-26T03:39:40.7270000
604,220,23.44,8.13,1.54,1,2022-04-26T03:54:40.7300000
605,220,23.44,7.69,2.17,1,2022-04-26T04:09:40.7600000
606,220,23.44,8.11,1.69,1,2022-04-26T04:24:40.7830000
607,220,23.44,8.16,1.43,1,2022-04-26T04:39:40.7930000
608,220,23.44,8.11,1.54,1,2022-04-26T04:54:40.7000000
609,220,23.44,7.72,2.11,1,2022-04-26T05:09:40.7730000
610,220,23.44,7.97,1.93,1,2022-04-26T05:24:40.7200000
611,220,23.44,8.19,1.49,1,2022-04-26T05:39:40.8130000
612,220,23.44,8.13,1.52,1,2022-04-26T05:54:40.7200000
613,220,23.44,7.89,1.81,1,2022-04-26T06:09:41.4700000
614,220,23.44,7.72,2.17,1,2022-04-26T06:24:40.7130000
615,220,23.44,8.13,1.6,1,2022-04-26T06:39:40.7900000
616,220,23.44,8.16,1.43,1,2022-04-26T06:54:40.7270000
617,220,23.44,8.13,1.49,1,2022-04-26T07:09:40.7700000
618,220,23.44,8.13,1.52,1,2022-04-26T07:24:40.8400000
619,220,23.44,8.13,1.54,1,2022-04-26T07:39:40.7170000
620,220,23.44,7.94,1.63,1,2022-04-26T07:54:40.7370000
621,220,23.44,7.8,1.93,1,2022-04-26T08:09:40.8570000
622,220,23.44,7.78,2.2,1,2022-04-26T08:24:40.8330000
623,220,23.44,7.75,2.14,1,2022-04-26T08:39:40.9000000
624,220,23.44,7.94,1.93,1,2022-04-26T08:54:40.7030000
625,220,23.44,8.19,1.46,1,2022-04-26T09:09:40.7270000
626,220,23.44,8.13,1.52,1,2022-04-26T09:24:40.9700000
